state,population
Andhra Pradesh,49386799
Arunachal Pradesh,1383727
Assam,31205576
Bihar,104099452
Chhattisgarh,25545198
Goa,1458545
Gujarat,60439192
Haryana,25353081
Himachal Pradesh,6864602
Jammu and Kashmir,12267013
Jharkhand,32988134
Karnataka,61095297
Kerala,33406061
Madhya Pradesh,72626809
Maharashtra,112374333
Manipur,2856014
Meghalaya,2966889
Mizoram,1097206
Nagaland,1978502
Odisha,41947418
Punjab,27743338
Rajasthan,68548437
Sikkim,610577
Tamil Nadu,72147030
Telangana,35003674
Tripura,3673917
Uttar Pradesh,199812341
Uttarakhand,10086292
West Bengal,91276115
Andaman and Nicobar Islands,380581
Chandigarh,1055450
Dadra and Nagar Haveli and Daman and Diu,586956
Delhi,16787941
Ladakh,274289
Puducherry,1247953
